718	1	1	1
705	1	2	2
703	1	3	3
702	1	4	4
701	3	7	5
700	1	8	8
697	2	10	9
695	3	13	11
694	4	17	14
693	1	18	18
692	1	19	19
691	2	21	20
690	2	23	22
689	5	28	24
688	1	29	29
687	4	33	30
686	3	36	34
685	3	39	37
684	7	46	40
683	1	47	47
682	2	49	48
681	7	56	50
680	5	61	57
679	3	64	62
678	5	69	65
677	5	74	70
676	8	82	75
675	8	90	83
674	12	102	91
673	8	110	103
672	10	120	111
671	12	132	121
670	6	138	133
669	7	145	139
668	6	151	146
667	10	161	152
666	12	173	162
665	11	184	174
664	17	201	185
663	19	220	202
662	9	229	221
661	15	244	230
660	17	261	245
659	16	277	262
658	21	298	278
657	17	315	299
656	18	333	316
655	25	358	334
654	28	386	359
653	24	410	387
652	28	438	411
651	34	472	439
650	27	499	473
649	32	531	500
648	27	558	532
647	33	591	559
646	26	617	592
645	33	650	618
644	31	681	651
643	34	715	682
642	43	758	716
641	34	792	759
640	40	832	793
639	38	870	833
638	36	906	871
637	45	951	907
636	52	1003	952
635	43	1046	1004
634	56	1102	1047
633	44	1146	1103
632	51	1197	1147
631	63	1260	1198
630	50	1310	1261
629	65	1375	1311
628	68	1443	1376
627	60	1503	1444
626	78	1581	1504
625	57	1638	1582
624	63	1701	1639
623	63	1764	1702
622	64	1828	1765
621	80	1908	1829
620	95	2003	1909
619	79	2082	2004
618	86	2168	2083
617	81	2249	2169
616	91	2340	2250
615	96	2436	2341
614	95	2531	2437
613	97	2628	2532
612	91	2719	2629
611	71	2790	2720
610	102	2892	2791
609	102	2994	2893
608	104	3098	2995
607	116	3214	3099
606	114	3328	3215
605	114	3442	3329
604	117	3559	3443
603	110	3669	3560
602	138	3807	3670
601	123	3930	3808
600	142	4072	3931
599	118	4190	4073
598	143	4333	4191
597	120	4453	4334
596	140	4593	4454
595	157	4750	4594
594	136	4886	4751
593	134	5020	4887
592	131	5151	5021
591	146	5297	5152
590	171	5468	5298
589	182	5650	5469
588	182	5832	5651
587	167	5999	5833
586	159	6158	6000
585	167	6325	6159
584	189	6514	6326
583	180	6694	6515
582	170	6864	6695
581	173	7037	6865
580	172	7209	7038
579	180	7389	7210
578	174	7563	7390
577	209	7772	7564
576	209	7981	7773
575	210	8191	7982
574	217	8408	8192
573	222	8630	8409
572	204	8834	8631
571	210	9044	8835
570	233	9277	9045
569	203	9480	9278
568	204	9684	9481
567	211	9895	9685
566	223	10118	9896
565	248	10366	10119
564	240	10606	10367
563	261	10867	10607
562	221	11088	10868
561	252	11340	11089
560	234	11574	11341
559	234	11808	11575
558	245	12053	11809
557	277	12330	12054
556	260	12590	12331
555	290	12880	12591
554	247	13127	12881
553	274	13401	13128
552	258	13659	13402
551	286	13945	13660
550	275	14220	13946
549	269	14489	14221
548	276	14765	14490
547	293	15058	14766
546	279	15337	15059
545	281	15618	15338
544	312	15930	15619
543	297	16227	15931
542	316	16543	16228
541	287	16830	16544
540	322	17152	16831
539	303	17455	17153
538	318	17773	17456
537	326	18099	17774
536	300	18399	18100
535	359	18758	18400
534	297	19055	18759
533	327	19382	19056
532	311	19693	19383
531	299	19992	19694
530	332	20324	19993
529	335	20659	20325
528	328	20987	20660
527	327	21314	20988
526	333	21647	21315
525	360	22007	21648
524	342	22349	22008
523	317	22666	22350
522	372	23038	22667
521	374	23412	23039
520	351	23763	23413
519	418	24181	23764
518	351	24532	24182
517	371	24903	24533
516	390	25293	24904
515	370	25663	25294
514	350	26013	25664
513	378	26391	26014
512	393	26784	26392
511	380	27164	26785
510	399	27563	27165
509	373	27936	27564
508	377	28313	27937
507	370	28683	28314
506	371	29054	28684
505	391	29445	29055
504	400	29845	29446
503	382	30227	29846
502	399	30626	30228
501	414	31040	30627
500	392	31432	31041
499	407	31839	31433
498	368	32207	31840
497	411	32618	32208
496	452	33070	32619
495	408	33478	33071
494	428	33906	33479
493	404	34310	33907
492	402	34712	34311
491	435	35147	34713
490	417	35564	35148
489	380	35944	35565
488	438	36382	35945
487	412	36794	36383
486	453	37247	36795
485	411	37658	37248
484	440	38098	37659
483	424	38522	38099
482	424	38946	38523
481	401	39347	38947
480	408	39755	39348
479	418	40173	39756
478	458	40631	40174
477	442	41073	40632
476	463	41536	41074
475	467	42003	41537
474	469	42472	42004
473	442	42914	42473
472	435	43349	42915
471	438	43787	43350
470	464	44251	43788
469	458	44709	44252
468	479	45188	44710
467	442	45630	45189
466	445	46075	45631
465	448	46523	46076
464	449	46972	46524
463	461	47433	46973
462	426	47859	47434
461	459	48318	47860
460	487	48805	48319
459	474	49279	48806
458	439	49718	49280
457	431	50149	49719
456	474	50623	50150
455	484	51107	50624
454	449	51556	51108
453	464	52020	51557
452	487	52507	52021
451	448	52955	52508
450	489	53444	52956
449	453	53897	53445
448	444	54341	53898
447	440	54781	54342
446	478	55259	54782
445	472	55731	55260
444	460	56191	55732
443	483	56674	56192
442	434	57108	56675
441	465	57573	57109
440	448	58021	57574
439	442	58463	58022
438	454	58917	58464
437	437	59354	58918
436	431	59785	59355
435	433	60218	59786
434	433	60651	60219
433	409	61060	60652
432	409	61469	61061
431	449	61918	61470
430	456	62374	61919
429	457	62831	62375
428	420	63251	62832
427	462	63713	63252
426	428	64141	63714
425	437	64578	64142
424	392	64970	64579
423	459	65429	64971
422	450	65879	65430
421	416	66295	65880
420	426	66721	66296
419	442	67163	66722
418	411	67574	67164
417	455	68029	67575
416	415	68444	68030
415	431	68875	68445
414	425	69300	68876
413	408	69708	69301
412	427	70135	69709
411	402	70537	70136
410	445	70982	70538
409	390	71372	70983
408	418	71790	71373
407	420	72210	71791
406	434	72644	72211
405	438	73082	72645
404	461	73543	73083
403	420	73963	73544
402	417	74380	73964
401	413	74793	74381
400	449	75242	74794
399	455	75697	75243
398	444	76141	75698
397	404	76545	76142
396	409	76954	76546
395	372	77326	76955
394	390	77716	77327
393	405	78121	77717
392	456	78577	78122
391	427	79004	78578
390	411	79415	79005
389	419	79834	79416
388	443	80277	79835
387	399	80676	80278
386	394	81070	80677
385	408	81478	81071
384	394	81872	81479
383	418	82290	81873
382	399	82689	82291
381	424	83113	82690
380	388	83501	83114
379	383	83884	83502
378	390	84274	83885
377	402	84676	84275
376	377	85053	84677
375	396	85449	85054
374	412	85861	85450
373	420	86281	85862
372	403	86684	86282
371	436	87120	86685
370	397	87517	87121
369	345	87862	87518
368	415	88277	87863
367	378	88655	88278
366	398	89053	88656
365	415	89468	89054
364	409	89877	89469
363	370	90247	89878
362	380	90627	90248
361	416	91043	90628
360	416	91459	91044
359	370	91829	91460
358	392	92221	91830
357	381	92602	92222
356	376	92978	92603
355	410	93388	92979
354	376	93764	93389
353	356	94120	93765
352	380	94500	94121
351	384	94884	94501
350	360	95244	94885
349	370	95614	95245
348	391	96005	95615
347	372	96377	96006
346	397	96774	96378
345	380	97154	96775
344	422	97576	97155
343	351	97927	97577
342	388	98315	97928
341	398	98713	98316
340	395	99108	98714
339	384	99492	99109
338	430	99922	99493
337	351	100273	99923
336	422	100695	100274
335	378	101073	100696
334	391	101464	101074
333	393	101857	101465
332	385	102242	101858
331	386	102628	102243
330	396	103024	102629
329	413	103437	103025
328	374	103811	103438
327	404	104215	103812
326	384	104599	104216
325	354	104953	104600
324	404	105357	104954
323	362	105719	105358
322	382	106101	105720
321	372	106473	106102
320	418	106891	106474
319	361	107252	106892
318	355	107607	107253
317	379	107986	107608
316	386	108372	107987
315	383	108755	108373
314	371	109126	108756
313	358	109484	109127
312	362	109846	109485
311	371	110217	109847
310	340	110557	110218
309	369	110926	110558
308	369	111295	110927
307	390	111685	111296
306	411	112096	111686
305	385	112481	112097
304	388	112869	112482
303	354	113223	112870
302	370	113593	113224
301	334	113927	113594
300	344	114271	113928
299	365	114636	114272
298	383	115019	114637
297	363	115382	115020
296	346	115728	115383
295	375	116103	115729
294	362	116465	116104
293	356	116821	116466
292	344	117165	116822
291	352	117517	117166
290	370	117887	117518
289	343	118230	117888
288	359	118589	118231
287	367	118956	118590
286	332	119288	118957
285	394	119682	119289
284	327	120009	119683
283	355	120364	120010
282	308	120672	120365
281	372	121044	120673
280	336	121380	121045
279	313	121693	121381
278	358	122051	121694
277	373	122424	122052
276	321	122745	122425
275	323	123068	122746
274	336	123404	123069
273	356	123760	123405
272	330	124090	123761
271	315	124405	124091
270	327	124732	124406
269	325	125057	124733
268	330	125387	125058
267	360	125747	125388
266	334	126081	125748
265	369	126450	126082
264	322	126772	126451
263	359	127131	126773
262	296	127427	127132
261	327	127754	127428
260	331	128085	127755
259	337	128422	128086
258	314	128736	128423
257	295	129031	128737
256	312	129343	129032
255	312	129655	129344
254	315	129970	129656
253	306	130276	129971
252	285	130561	130277
251	300	130861	130562
250	335	131196	130862
249	292	131488	131197
248	309	131797	131489
247	330	132127	131798
246	302	132429	132128
245	274	132703	132430
244	291	132994	132704
243	278	133272	132995
242	282	133554	133273
241	337	133891	133555
240	282	134173	133892
239	315	134488	134174
238	277	134765	134489
237	285	135050	134766
236	268	135318	135051
235	309	135627	135319
234	299	135926	135628
233	282	136208	135927
232	302	136510	136209
231	263	136773	136511
230	275	137048	136774
229	242	137290	137049
228	273	137563	137291
227	269	137832	137564
226	243	138075	137833
225	269	138344	138076
224	274	138618	138345
223	256	138874	138619
222	257	139131	138875
221	258	139389	139132
220	260	139649	139390
219	253	139902	139650
218	232	140134	139903
217	242	140376	140135
216	251	140627	140377
215	261	140888	140628
214	247	141135	140889
213	239	141374	141136
212	224	141598	141375
211	245	141843	141599
210	224	142067	141844
209	227	142294	142068
208	229	142523	142295
207	235	142758	142524
206	236	142994	142759
205	223	143217	142995
204	225	143442	143218
203	185	143627	143443
202	202	143829	143628
201	189	144018	143830
200	197	144215	144019
