668,1,1
664,1,2
660,1,3
655,1,4
651,1,5
646,1,6
644,3,9
639,2,11
638,1,12
637,2,14
635,3,17
634,2,19
633,1,20
632,2,22
631,2,24
630,1,25
629,1,26
628,3,29
627,2,31
626,2,33
625,4,37
624,9,46
623,2,48
622,3,51
621,4,55
620,7,62
619,1,63
618,4,67
617,3,70
616,8,78
615,10,88
614,6,94
613,3,97
612,15,112
611,12,124
610,8,132
609,10,142
608,11,153
607,9,162
606,15,177
605,15,192
604,13,205
603,17,222
602,14,236
601,18,254
600,20,274
599,24,298
598,19,317
597,29,346
596,26,372
595,31,403
594,22,425
593,30,455
592,24,479
591,23,502
590,27,529
589,35,564
588,30,594
587,28,622
586,32,654
585,30,684
584,33,717
583,32,749
582,42,791
581,33,824
580,43,867
579,42,909
578,43,952
577,37,989
576,36,1025
575,49,1074
574,41,1115
573,33,1148
572,34,1182
571,44,1226
570,40,1266
569,41,1307
568,45,1352
567,66,1418
566,47,1465
565,62,1527
564,34,1561
563,54,1615
562,52,1667
561,63,1730
560,64,1794
559,63,1857
558,52,1909
557,69,1978
556,74,2052
555,60,2112
554,68,2180
553,75,2255
552,69,2324
551,86,2410
550,71,2481
549,77,2558
548,88,2646
547,93,2739
546,84,2823
545,78,2901
544,81,2982
543,77,3059
542,92,3151
541,82,3233
540,92,3325
539,68,3393
538,87,3480
537,83,3563
536,104,3667
535,98,3765
534,91,3856
533,94,3950
532,95,4045
531,100,4145
530,104,4249
529,94,4343
528,106,4449
527,112,4561
526,93,4654
525,101,4755
524,100,4855
523,104,4959
522,117,5076
521,108,5184
520,116,5300
519,123,5423
518,115,5538
517,114,5652
516,103,5755
515,114,5869
514,122,5991
513,117,6108
512,125,6233
511,128,6361
510,126,6487
509,129,6616
508,120,6736
507,119,6855
506,133,6988
505,141,7129
504,134,7263
503,129,7392
502,141,7533
501,133,7666
500,137,7803
499,134,7937
498,139,8076
497,146,8222
496,118,8340
495,130,8470
494,159,8629
493,147,8776
492,147,8923
