710	33	33	1
709	6	39	34
708	4	43	40
707	3	46	44
706	5	51	47
705	4	55	52
704	7	62	56
703	11	73	63
702	11	84	74
701	14	98	85
700	13	111	99
699	12	123	112
698	16	139	124
697	15	154	140
696	22	176	155
695	29	205	177
694	26	231	206
693	37	268	232
692	31	299	269
691	36	335	300
690	43	378	336
689	60	438	379
688	41	479	439
687	56	535	480
686	61	596	536
685	59	655	597
684	77	732	656
683	93	825	733
682	86	911	826
681	90	1001	912
680	102	1103	1002
679	103	1206	1104
678	124	1330	1207
677	137	1467	1331
676	130	1597	1468
675	155	1752	1598
674	141	1893	1753
673	139	2032	1894
672	174	2206	2033
671	182	2388	2207
670	197	2585	2389
669	213	2798	2586
668	211	3009	2799
667	219	3228	3010
666	227	3455	3229
665	251	3706	3456
664	255	3961	3707
663	264	4225	3962
662	262	4487	4226
661	307	4794	4488
660	288	5082	4795
659	284	5366	5083
658	281	5647	5367
657	332	5979	5648
656	315	6294	5980
655	344	6638	6295
654	371	7009	6639
653	361	7370	7010
652	348	7718	7371
651	369	8087	7719
650	412	8499	8088
649	421	8920	8500
648	391	9311	8921
647	441	9752	9312
646	450	10202	9753
645	416	10618	10203
644	491	11109	10619
643	506	11615	11110
642	492	12107	11616
641	490	12597	12108
640	521	13118	12598
639	509	13627	13119
638	537	14164	13628
637	546	14710	14165
636	579	15289	14711
635	597	15886	15290
634	560	16446	15887
633	636	17082	16447
632	636	17718	17083
631	608	18326	17719
630	611	18937	18327
629	647	19584	18938
628	623	20207	19585
627	694	20901	20208
626	671	21572	20902
625	695	22267	21573
624	746	23013	22268
623	676	23689	23014
622	689	24378	23690
621	757	25135	24379
620	726	25861	25136
619	726	26587	25862
618	770	27357	26588
617	771	28128	27358
616	794	28922	28129
615	795	29717	28923
614	775	30492	29718
613	859	31351	30493
612	844	32195	31352
611	803	32998	32196
610	821	33819	32999
609	824	34643	33820
608	863	35506	34644
607	894	36400	35507
606	887	37287	36401
605	831	38118	37288
604	884	39002	38119
603	813	39815	39003
602	863	40678	39816
601	905	41583	40679
600	916	42499	41584
599	922	43421	42500
598	920	44341	43422
597	893	45234	44342
596	894	46128	45235
595	931	47059	46129
594	948	48007	47060
593	977	48984	48008
592	993	49977	48985
591	917	50894	49978
590	961	51855	50895
589	990	52845	51856
588	963	53808	52846
587	982	54790	53809
586	1020	55810	54791
585	1016	56826	55811
584	946	57772	56827
583	998	58770	57773
582	983	59753	58771
581	1032	60785	59754
580	1019	61804	60786
579	1000	62804	61805
578	1008	63812	62805
577	994	64806	63813
576	982	65788	64807
575	1031	66819	65789
574	1016	67835	66820
573	984	68819	67836
572	1025	69844	68820
571	1029	70873	69845
570	989	71862	70874
569	1038	72900	71863
568	1030	73930	72901
567	1006	74936	73931
566	1035	75971	74937
565	986	76957	75972
564	1091	78048	76958
563	1023	79071	78049
562	991	80062	79072
561	975	81037	80063
560	1067	82104	81038
559	1044	83148	82105
558	1039	84187	83149
557	1081	85268	84188
556	1007	86275	85269
555	1021	87296	86276
554	970	88266	87297
553	1045	89311	88267
552	1042	90353	89312
551	1034	91387	90354
550	1008	92395	91388
549	984	93379	92396
548	1033	94412	93380
547	1010	95422	94413
546	1041	96463	95423
545	1034	97497	96464
544	1075	98572	97498
543	1034	99606	98573
542	1044	100650	99607
541	1036	101686	100651
540	1042	102728	101687
539	1000	103728	102729
538	989	104717	103729
537	1053	105770	104718
536	1033	106803	105771
535	996	107799	106804
534	993	108792	107800
533	1024	109816	108793
532	1015	110831	109817
531	1015	111846	110832
530	1053	112899	111847
529	991	113890	112900
528	975	114865	113891
527	1039	115904	114866
526	1022	116926	115905
525	1050	117976	116927
524	1019	118995	117977
523	959	119954	118996
522	984	120938	119955
521	882	121820	120939
520	917	122737	121821
519	939	123676	122738
518	944	124620	123677
517	952	125572	124621
516	991	126563	125573
515	937	127500	126564
514	1004	128504	127501
513	933	129437	128505
512	1039	130476	129438
511	999	131475	130477
510	966	132441	131476
509	944	133385	132442
508	919	134304	133386
507	959	135263	134305
506	962	136225	135264
505	919	137144	136226
504	949	138093	137145
503	929	139022	138094
502	922	139944	139023
501	879	140823	139945
500	933	141756	140824
499	905	142661	141757
498	859	143520	142662
497	918	144438	143521
496	936	145374	144439
495	951	146325	145375
494	887	147212	146326
493	864	148076	147213
492	881	148957	148077
491	848	149805	148958
490	846	150651	149806
489	889	151540	150652
488	857	152397	151541
487	852	153249	152398
486	845	154094	153250
485	871	154965	154095
484	868	155833	154966
483	848	156681	155834
482	841	157522	156682
481	833	158355	157523
