700	28	28
695	14	42
690	20	62
685	27	89
680	41	130
675	46	176
670	73	249
665	78	327
660	112	439
655	154	593
650	172	765
645	212	977
640	268	1245
635	305	1550
630	339	1889
625	425	2314
620	434	2748
615	519	3267
610	597	3864
605	634	4498
600	671	5169
595	765	5934
590	824	6758
585	877	7635
580	939	8574
575	1045	9619
570	1010	10629
565	1168	11797
560	1191	12988
555	1275	14263
550	1333	15596
545	1379	16975
540	1360	18335
535	1499	19834
530	1528	21362
525	1646	23008
520	1667	24675
515	1772	26447
510	1803	28250
505	1831	30081
500	1907	31988
495	1998	33986
490	2045	36031
485	2127	38158
480	2151	40309
475	2201	42510
470	2231	44741
465	2289	47030
460	2324	49354
455	2335	51689
450	2317	54006
445	2502	56508
440	2469	58977
435	2574	61551
430	2560	64111
425	2527	66638
420	2663	69301
415	2490	71791
410	2580	74371
405	2545	76916
400	2463	79379
395	2464	81843
390	2421	84264
385	2516	86780
380	2369	89149
375	2431	91580
370	2196	93776
365	2219	95995
360	2090	98085
355	2115	100200
350	2057	102257
345	1885	104142
340	1806	105948
335	1743	107691
330	1565	109256
325	1491	110747
320	1515	112262
315	1358	113620
310	1298	114918
305	1227	116145
300	1090	117235
295	980	118215
290	882	119097
285	774	119871
280	695	120566
275	642	121208
270	548	121756
265	510	122266
260	457	122723
255	376	123099
250	341	123440
245	305	123745
240	209	123954
235	193	124147
230	154	124301
225	123	124424
220	110	124534
215	90	124624
210	54	124678
205	63	124741
200	36	124777
195	31	124808
190	34	124842
185	20	124862
180	18	124880
175	12	124892
170	9	124901
165	14	124915
160	10	124925
155	3	124928
150	2	124930
145	3	124933
140	5	124938
135	5	124943
130	5	124948
125	4	124952
120	4	124956
115	4	124960
110	1	124961
105	2	124963
