710	33	33
709	6	39
708	4	43
707	3	46
706	5	51
705	4	55
704	7	62
703	11	73
702	11	84
701	14	98
700	13	111
699	12	123
698	16	139
697	15	154
696	22	176
695	29	205
694	26	231
693	37	268
692	31	299
691	36	335
690	43	378
689	60	438
688	41	479
687	56	535
686	61	596
685	59	655
684	77	732
683	93	825
682	86	911
681	90	1001
680	102	1103
679	103	1206
678	124	1330
677	137	1467
676	130	1597
675	155	1752
674	141	1893
673	139	2032
672	174	2206
671	182	2388
670	197	2585
669	213	2798
668	211	3009
667	219	3228
666	227	3455
665	251	3706
664	255	3961
663	264	4225
662	262	4487
661	307	4794
660	288	5082
659	284	5366
658	281	5647
657	332	5979
656	315	6294
655	344	6638
654	371	7009
653	361	7370
652	348	7718
651	369	8087
650	412	8499
649	421	8920
648	391	9311
647	441	9752
646	450	10202
645	416	10618
644	491	11109
643	506	11615
642	492	12107
641	490	12597
640	521	13118
639	509	13627
638	537	14164
637	546	14710
636	579	15289
635	597	15886
634	560	16446
633	636	17082
632	636	17718
631	608	18326
630	611	18937
629	647	19584
628	623	20207
627	694	20901
626	671	21572
625	695	22267
624	746	23013
623	676	23689
622	689	24378
621	757	25135
620	726	25861
619	726	26587
618	770	27357
617	771	28128
616	794	28922
615	795	29717
614	775	30492
613	859	31351
612	844	32195
611	803	32998
610	821	33819
609	824	34643
608	863	35506
607	894	36400
606	887	37287
605	831	38118
604	884	39002
603	813	39815
602	863	40678
601	905	41583
600	916	42499
599	922	43421
598	920	44341
597	893	45234
596	894	46128
595	931	47059
594	948	48007
593	977	48984
592	993	49977
591	917	50894
590	961	51855
589	990	52845
588	963	53808
587	982	54790
586	1020	55810
585	1016	56826
584	946	57772
583	998	58770
582	983	59753
581	1032	60785
580	1019	61804
579	1000	62804
578	1008	63812
577	994	64806
576	982	65788
575	1031	66819
574	1016	67835
573	984	68819
572	1025	69844
571	1029	70873
570	989	71862
569	1038	72900
568	1030	73930
567	1006	74936
566	1035	75971
565	986	76957
564	1091	78048
563	1023	79071
562	991	80062
561	975	81037
560	1067	82104
559	1044	83148
558	1039	84187
557	1081	85268
556	1007	86275
555	1021	87296
554	970	88266
553	1045	89311
552	1042	90353
551	1034	91387
550	1008	92395
549	984	93379
548	1033	94412
547	1010	95422
546	1041	96463
545	1034	97497
544	1075	98572
543	1034	99606
542	1044	100650
541	1036	101686
540	1042	102728
539	1000	103728
538	989	104717
537	1053	105770
536	1033	106803
535	996	107799
534	993	108792
533	1024	109816
532	1015	110831
531	1015	111846
530	1053	112899
529	991	113890
528	975	114865
527	1039	115904
526	1022	116926
525	1050	117976
524	1019	118995
523	959	119954
522	984	120938
521	882	121820
520	917	122737
519	939	123676
518	944	124620
517	952	125572
516	991	126563
515	937	127500
514	1004	128504
513	933	129437
512	1039	130476
511	999	131475
510	966	132441
509	944	133385
508	919	134304
507	959	135263
506	962	136225
505	919	137144
504	949	138093
503	929	139022
502	922	139944
501	879	140823
500	933	141756
499	905	142661
498	859	143520
497	918	144438
496	936	145374
495	951	146325
494	887	147212
493	864	148076
492	881	148957
491	848	149805
490	846	150651
489	889	151540
488	857	152397
487	852	153249
486	845	154094
485	871	154965
484	868	155833
483	848	156681
482	841	157522
481	833	158355
480	821	159176
479	826	160002
478	795	160797
477	784	161581
476	773	162354
475	789	163143
474	772	163915
473	800	164715
472	705	165420
471	805	166225
470	785	167010
469	771	167781
468	740	168521
467	796	169317
466	723	170040
465	666	170706
464	724	171430
463	794	172224
462	768	172992
461	692	173684
460	700	174384
459	698	175082
458	654	175736
457	700	176436
456	720	177156
455	629	177785
454	678	178463
453	745	179208
452	679	179887
451	683	180570
450	625	181195
449	693	181888
448	715	182603
447	680	183283
446	599	183882
445	610	184492
444	643	185135
443	640	185775
442	620	186395
441	597	186992
440	622	187614
439	648	188262
438	575	188837
437	578	189415
436	593	190008
435	567	190575
434	576	191151
433	568	191719
432	566	192285
431	558	192843
430	600	193443
429	546	193989
428	551	194540
427	526	195066
426	567	195633
425	517	196150
424	587	196737
423	542	197279
422	526	197805
421	509	198314
420	533	198847
419	493	199340
418	529	199869
417	485	200354
416	530	200884
415	521	201405
414	505	201910
413	543	202453
412	507	202960
411	480	203440
410	463	203903
409	510	204413
408	482	204895
407	472	205367
406	491	205858
405	494	206352
404	486	206838
403	442	207280
